rank,team_id,team,,tier,hltv_id,slug
9999,11508,virus-in-portugal,,5,,
9999,11518,ninja-cookies,,5,,
9999,11527,the-loyal-shadows,,5,,
9999,11529,romainlegeek,,5,,
9999,11542,flyinggoats,,5,,
9999,11558,taoq,,5,,
9999,11559,apollo-cs,,5,,
9999,11561,nenoistorm,,5,,
9999,11577,the-ratz,,5,,
9999,11586,jurastik,,5,,
9999,11595,team-ovrtime,,5,,
9999,11605,kappa360,,5,,
9999,11608,highsense-v7,,5,,
9999,11610,mentally,,5,,
9999,11611,gcj-team,,5,,
9999,11622,danish-e-vikings,,5,,
9999,11658,infinitegamers,,5,,
9999,11662,team-mad-bombers,,5,,
9999,11665,team-pila,,5,,
9999,11672,blackdiamond,,5,,
9999,11678,zeta,,5,,
9999,11681,team-z1nd3rs,,5,,
9999,11683,ambitious-of-victory,,5,,
9999,11684,theguardians,,5,,
9999,11687,phantom-s,,5,,
9999,11691,meet-your-doom,,5,,
9999,11719,nrg-gaming,,5,,
9999,11722,incapacity-gaming,,5,,
9999,11735,ez-skins-ez-noot,,5,,
9999,11747,holy-fucking-shit,,5,,
9999,11748,team-vitex,,5,,
9999,11751,radioactive-csgo,,5,,
9999,11754,up-ci,,5,,
9999,11759,team-solo-yolo,,5,,
9999,11771,kazam-esports,,5,,
9999,11773,sons-of-battlefield,,5,,
9999,11776,xtrafly,,5,,
9999,11782,the-cook-and-bake-club,,5,,
9999,11784,team-paradox,,5,,
9999,11790,throne,,5,,
9999,11808,squirrel-fire,,5,,
9999,11809,red-wolf,,5,,
9999,11810,luxite,,5,,
9999,11811,30cm,,5,,
9999,11812,harunga,,5,,
9999,11815,aether-esports,,5,,
9999,11816,eratz,,5,,
9999,11820,selfie-pro,,5,,
9999,11823,kicking-it-gamer-s,,5,,
9999,11825,intrepidus-uk,,5,,
9999,11844,bubar,,5,,
9999,11845,nutrition-esports,,5,,
9999,11846,world-of-games,,5,,
9999,11854,mongo-gaming,,5,,
9999,11867,anceril,,5,,
9999,11872,cshs-pl,,5,,
9999,11881,necrabites,,5,,
9999,11899,theyhateuscuztheyanus,,5,,
9999,11906,doom-haxors,,5,,
9999,11909,team-zinkz,,5,,
9999,11911,nivin,,5,,
9999,11912,wazers,,5,,
9999,11914,valdion,,5,,
9999,11922,lv-breath,,5,,
9999,11928,team-well-play,,5,,
9999,11930,raiders-of-turks,,5,,
9999,11931,vulpes-ace,,5,,
9999,11933,esports-twisted,,5,,
9999,11934,apollyon,,5,,
9999,11937,kabloiczu,,5,,
9999,11939,realitygaming,,5,,
9999,11945,blandy-gaming,,5,,
9999,11946,atrax,,5,,
9999,11954,scads-of-czech,,5,,
9999,11958,stealthy-invaders,,5,,
9999,11959,ace-dreaming,,5,,
9999,11960,system-conspiracy,,5,,
9999,11962,nopeteamfr,,5,,
9999,11963,otego,,5,,
9999,11965,hellraiserseu,,5,,
9999,11966,gamedex,,5,,
